template_id_1,template_1,template_id_2,template_2,cosine_similarity
55,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt: <*> <*>,54,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt,1.0
97,- <*> <*> <*> <*> <*> NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,94,"- 1123030687 2005.08.02 R00-M0-N2 2005-08-02-17.58.07.084868 R00-M0-N2 NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",0.9149052055387497
102,APPSEV <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,134,APPSEV <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,0.9072134643457809
42,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected,142,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected over <*> seconds,0.8758099138083479
11,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",139,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",0.7520236935562663
114,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Permission denied",101,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Exec format error",0.7196175522378688
126,"- <*> <*> <*> <*> <*> RAS KERNEL INFO critical input interrupt (unit=0x0b <*> warning for <*> <*> wire, suppressing further interrupts of same type",113,- <*> <*> <*> <*> <*> RAS KERNEL INFO critical input interrupt (unit=0x0b <*> warning for torus <*> wire,0.7052667333054117
146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",141,"- 1133638373 2005.12.03 R56-M0-NA-C:J15-U11 2005-12-03-11.32.53.165837 R56-M0-NA-C:J15-U11 RAS KERNEL INFO Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",0.7016420397738249
139,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",142,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected over <*> seconds,0.6973881309161125
49,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, No such file or directory",114,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Permission denied",0.6877712518311827
126,"- <*> <*> <*> <*> <*> RAS KERNEL INFO critical input interrupt (unit=0x0b <*> warning for <*> <*> wire, suppressing further interrupts of same type",111,- <*> <*> <*> <*> <*> RAS KERNEL INFO suppressing further interrupts of same type,0.6733385199357124
132,APPRES <*> 2005.11.21 <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,131,APPTO <*> 2005.11.21 <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,0.6712985251076784
49,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, No such file or directory",101,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Exec format error",0.6682689955879864
49,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, No such file or directory",10,- <*> <*> <*> <*> <*> RAS APP FATAL ciod: LOGIN <*> failed: No such file or directory,0.6613175288943889
21,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: <*> <*>,55,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt: <*> <*>,0.6330063878646527
21,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: <*> <*>,54,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt,0.6330063878646527
108,KERNMNTF <*> <*> <*> <*> <*> RAS KERNEL FATAL Lustre mount FAILED : <*> : point /p/gb1,129,KERNMNTF <*> <*> <*> <*> <*> RAS KERNEL FATAL Lustre mount FAILED : <*> : block_id : location,0.6329326967746276
117,"KERNREC <*> <*> <*> <*> <*> RAS KERNEL FATAL Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007",112,- 1127264516 2005.09.20 R05-M0-N1-C:J06-U11 2005-09-20-18.01.56.398119 R05-M0-N1-C:J06-U11 RAS KERNEL FATAL rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,0.6286811599913675
53,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO generating <*>,54,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt,0.609745411812826
55,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt: <*> <*>,53,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO generating <*>,0.609745411812826
146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.6084506311782667
123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.6084506311782667
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.6084506311782667
100,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,136,- <*> <*> R55-M0-N9-C:J06-U11 <*> R55-M0-N9-C:J06-U11 RAS KERNEL INFO <*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,0.604990521440494
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.5866482674727636
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.5866482674727634
121,- <*> 2005.11.08 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.5866482674727634
105,- <*> 2005.08.26 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",0.5866482674727634
146,"- <*> 2005.12.06 <*> <*> <*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5866482674727634
42,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected,139,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",0.5618549812625159
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5583481539265762
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5583481539265762
123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5583481539265762
85,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> floating point alignment exceptions,2,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions,0.5541257207743326
21,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: <*> <*>,34,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: fp cr field .............0,0.5483647058232725
125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,141,"- 1133638373 2005.12.03 R56-M0-NA-C:J15-U11 2005-12-03-11.32.53.165837 R56-M0-NA-C:J15-U11 RAS KERNEL INFO Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",0.5453452675485198
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,141,"- 1133638373 2005.12.03 R56-M0-NA-C:J15-U11 2005-12-03-11.32.53.165837 R56-M0-NA-C:J15-U11 RAS KERNEL INFO Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",0.5453452675485198
123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,141,"- 1133638373 2005.12.03 R56-M0-NA-C:J15-U11 2005-12-03-11.32.53.165837 R56-M0-NA-C:J15-U11 RAS KERNEL INFO Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",0.5453452675485198
62,- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error creating node map from file <*> <*> <*> <*>,78,- 1121383222 2005.07.14 R01-M0-N0-I:J18-U11 2005-07-14-16.20.22.672549 R01-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,0.5441087062727135
134,APPSEV <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,131,APPTO <*> 2005.11.21 <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,0.5389641819303296
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866703
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866703
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866703
125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,121,- <*> 2005.11.08 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,0.5383410918866702
